  Wz_Az    Wz_El    Kk_Az    Kk_El
     0.00     8.00   -10.55    62.30
     1.00     8.00   -12.59    62.03
     2.00     8.00   -14.58    61.73
     3.00     8.00   -16.54    61.39
     4.00     8.00   -18.45    61.03
     5.00     8.00   -20.32    60.63
     6.00     8.00   -22.13    60.21
     7.00     8.00   -23.90    59.77
     8.00     8.00   -25.62    59.29
     9.00     8.00   -27.28    58.80
    10.00     8.00   -28.90    58.28
    11.00     8.00   -30.46    57.74
    12.00     8.00   -31.98    57.18
    13.00     8.00   -33.45    56.59
    14.00     8.00   -34.87    55.99
    15.00     8.00   -36.24    55.38
    16.00     8.00   -37.57    54.74
    17.00     8.00   -38.85    54.09
    18.00     8.00   -40.09    53.43
    19.00     8.00   -41.29    52.75
    20.00     8.00   -42.45    52.05
    21.00     8.00   -43.57    51.35
    22.00     8.00   -44.65    50.63
    23.00     8.00   -45.70    49.90
    24.00     8.00   -46.72    49.16
    25.00     8.00   -47.70    48.41
    26.00     8.00   -48.65    47.65
    27.00     8.00   -49.57    46.88
    28.00     8.00   -50.46    46.11
    29.00     8.00   -51.32    45.32
    30.00     8.00   -52.16    44.53
    31.00     8.00   -52.97    43.73
    32.00     8.00   -53.76    42.92
    33.00     8.00   -54.52    42.10
    34.00     8.00   -55.27    41.28
    35.00     8.00   -55.99    40.46
    36.00     8.00   -56.69    39.62
    37.00     8.00   -57.37    38.79
    38.00     8.00   -58.03    37.94
    39.00     8.00   -58.68    37.10
    40.00     8.00   -59.31    36.24
    41.00     8.00   -59.92    35.39
    42.00     8.00   -60.52    34.53
    43.00     8.00   -61.10    33.66
    44.00     8.00   -61.67    32.79
    45.00     8.00   -62.22    31.92
    46.00     8.00   -62.76    31.04
    47.00     8.00   -63.29    30.17
    48.00     8.00   -63.81    29.28
    49.00     8.00   -64.32    28.40
    50.00     8.00   -64.81    27.51
    51.00     8.00   -65.30    26.62
    52.00     8.00   -65.77    25.72
    53.00     8.00   -66.24    24.83
    54.00     8.00   -66.70    23.93
    55.00     8.00   -67.14    23.03
    56.00     8.00   -67.58    22.12
    57.00     8.00   -68.01    21.22
    58.00     8.00   -68.44    20.31
    59.00     8.00   -68.86    19.40
    60.00     8.00   -69.27    18.49
    61.00     8.00   -69.67    17.58
    62.00     8.00   -70.06    16.66
    63.00     8.00   -70.46    15.75
    64.00     8.00   -70.84    14.83
    65.00     8.00   -71.22    13.91
    66.00     8.00   -71.59    12.99
    67.00     8.00   -71.96    12.07
    68.00     8.00   -72.33    11.14
    69.00     8.00   -72.69    10.22
    70.00     8.00   -73.04     9.29
    71.00     8.00   -73.39     8.36
    72.00     8.00   -73.74     7.43
    73.00     8.00   -74.08     6.50
    74.00     8.00   -74.42     5.57
    75.00     8.00   -74.76     4.64
    76.00     8.00   -75.09     3.71
    77.00     8.00   -75.42     2.77
    78.00     8.00   -75.75     1.84
    79.00     8.00   -76.07     0.90
    80.00     8.00   -76.40    -0.03
    81.00     8.00   -76.72    -0.97
    82.00     8.00   -77.03    -1.91
    83.00     8.00   -77.35    -2.85
    84.00     8.00   -77.66    -3.78
    85.00     8.00   -77.98    -4.72
    86.00     8.00   -78.29    -5.66
    87.00     8.00   -78.60    -6.61
    88.00     8.00   -78.91    -7.55
    89.00     8.00   -79.22    -8.49
    90.00     8.00   -79.52    -9.43
    91.00     8.00   -79.83   -10.38
    92.00     8.00   -80.14   -11.32
    93.00     8.00   -80.44   -12.26
    94.00     8.00   -80.75   -13.21
    95.00     8.00   -81.05   -14.15
