,sked+time,sked_RMS,x,y,rad
0,000+0,7.34,-16.727788607004516,44.38983187738609,21.713155147851555
1,000+1,7.34,-16.788915625789144,46.622133120357944,21.920148585493553
2,000+2,7.34,36.28244371292547,35.34479183677549,31.104592123289475
3,000+3,7.34,0.07801365069054332,40.634976701889784,32.3980580304533
4,000+4,7.34,6.277989464443439,40.090402312016614,30.21601784788078
5,000+5,7.34,8.3839895260104,46.735335698728115,32.98822765308483
6,000+6,7.34,8.3839895260104,46.735335698728115,32.988227653084834
7,000+7,7.34,8.342767915261968,42.41602880725565,32.68614443295641
8,000+8,7.34,20.402537546713784,58.25233011668735,23.8518601179756
9,000+9,7.34,20.402537546713784,58.25233011668735,23.8518601179756
10,000+10,7.34,20.402537546713784,58.25233011668735,23.8518601179756
11,000+11,7.34,21.637389589001756,52.52696876906549,22.077504399919977
12,000+12,7.34,20.94876978859217,52.97274434545551,21.624672235700565
13,000+13,7.34,20.945445967256745,52.92460728109104,21.60174304330824
14,000+14,7.34,20.94360457052652,52.89793935162727,21.58907621177941
15,000+15,7.34,88.040341331995,10.576105362304562,32.71491794743385
16,000+16,7.34,88.040341331995,10.576105362304562,32.71491794743385
17,000+17,7.34,88.040341331995,10.576105362304562,32.71491794743385
18,000+18,7.34,88.040341331995,10.576105362304562,32.71491794743385
19,000+19,7.34,88.040341331995,10.576105362304562,32.71491794743385
20,000+20,7.34,88.040341331995,10.576105362304562,32.71491794743385
21,000+21,7.34,88.040341331995,10.576105362304562,54.385332254387464
22,000+22,7.34,88.040341331995,10.576105362304562,69.86357434893799
23,000+23,7.34,88.040341331995,10.576105362304562,59.43730427253687
24,000+24,7.34,88.040341331995,10.576105362304562,59.43730427253687
25,000+25,7.34,88.040341331995,10.576105362304562,43.74328841106954
26,000+26,7.34,88.040341331995,10.576105362304562,43.74328841106954
27,000+27,7.34,88.040341331995,10.576105362304562,43.74328841106954
28,000+28,7.34,88.040341331995,10.576105362304562,43.74328841106954
29,000+29,7.34,88.040341331995,10.576105362304562,43.74328841106954
30,000+30,7.34,88.040341331995,10.576105362304562,43.74328841106954
31,000+31,7.34,88.040341331995,10.576105362304562,43.74328841106954
32,000+32,7.34,88.040341331995,10.576105362304562,43.74328841106954
33,000+33,7.34,7.82426719396823,39.91749943800041,36.31300914538138
34,000+34,7.34,7.82426719396823,39.91749943800041,36.31300914538138
35,000+35,7.34,7.82426719396823,39.91749943800041,36.31300914538138
36,000+36,7.34,6.277989464443439,40.090402312016614,41.103867393803725
37,000+37,7.34,-34.61117313524492,65.09414931213911,35.456152932315916
38,000+38,7.34,22.172418398101122,41.2214079414727,28.18556206812397
39,000+39,7.34,21.892912555602702,41.937972582657295,27.84221423336176
40,000+40,7.34,21.892912555602702,41.937972582657295,27.84221423336176
41,000+41,7.34,21.892912555602702,41.937972582657295,27.84221423336176
42,000+42,7.34,21.75009392985255,41.21664215929311,27.76601125565452
43,000+43,7.34,88.040341331995,10.576105362304562,30.57741255756731
44,000+44,7.34,88.040341331995,10.576105362304562,30.57741255756731
45,000+45,7.34,88.040341331995,10.576105362304562,30.57741255756731
46,000+46,7.34,88.040341331995,10.576105362304562,45.742632819335356
47,000+47,7.34,88.040341331995,10.576105362304562,45.742632819335356
48,000+48,7.34,88.040341331995,10.576105362304562,45.742632819335356
49,000+49,7.34,88.040341331995,10.576105362304562,46.78846872661858
50,000+50,7.34,88.040341331995,10.576105362304562,46.78846872661858
51,001+0,9.28,47.28156770281387,32.617368764971765,32.53125654529969
52,001+1,9.28,47.28156770281387,32.617368764971765,32.53125654529969
53,001+2,9.28,4.726198519478847,40.232210493726846,30.234254304525592
54,001+3,9.28,4.726198519478847,40.232210493726846,30.234254304525592
55,001+4,9.28,71.70535875411737,52.0969926207478,29.86067115098637
56,001+5,9.28,88.040341331995,10.576105362304562,56.40985385770304
57,001+6,9.28,71.70535875411737,52.0969926207478,30.45108663737649
58,001+7,9.28,71.70535875411737,52.0969926207478,30.45108663737649
59,001+8,9.28,71.70535875411737,52.0969926207478,30.45108663737649
60,001+9,9.28,6.277989464443439,40.090402312016614,29.82625578413694
