,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,1039+811,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,3.1052,354.23,14.73,11.4,55.16,0.0,-8.750812087189427,86.60112754500705
31,0059+581,21,1.0,4.0,0.0,0.0,31.0,KOKEE12M,WETTZ13S,1.36839,34.25,28.23,320.94,35.51,31.0,44.62763440467907,65.54446009877535
32,2353+816,21,1.0,4.0,0.0,1.0,0.0,KOKEE12M,WETTZ13S,6.2104,7.31,26.56,349.96,44.97,60.0,10.24289072397273,79.8476951859605
33,0718+793,21,1.0,4.0,0.0,1.0,37.0,KOKEE12M,WETTZ13S,7.33956,2.32,11.5,358.23,59.95,97.0,3.570112370438525,88.120933688567
34,1851+488,21,1.0,4.0,0.0,2.0,12.0,KOKEE12M,WETTZ13S,7.33956,332.85,58.23,9.26,8.84,132.0,-21.623238864819218,42.16473888652154
35,1803+784,21,1.0,4.0,0.0,2.0,47.0,KOKEE12M,WETTZ13S,1.41641,352.28,31.38,6.8,38.69,167.0,-10.32153217916745,76.13952253770819
36,0133+476,21,1.0,4.0,0.0,3.0,18.0,KOKEE12M,WETTZ13S,2.12461,45.71,23.08,307.45,32.62,198.0,59.266769999415025,57.815827190269744
37,0109+224,21,1.0,4.0,0.0,3.0,47.0,KOKEE12M,WETTZ13S,1.87756,73.61,23.15,292.0,11.30,227.0,79.39027155139826,23.35077188995085
38,1039+811,21,1.0,4.0,0.0,4.0,49.0,KOKEE12M,WETTZ13S,3.1052,354.39,14.61,11.2,55.31,289.0,-8.513608895098452,86.67273484671313
39,3C371,21,1.0,4.0,0.0,5.0,16.0,KOKEE12M,WETTZ13S,2.99019,345.85,38.24,10.25,30.52,316.0,-17.28054028459923,68.54349895540665
40,1851+488,21,1.0,4.0,0.0,5.0,44.0,KOKEE12M,WETTZ13S,7.33956,332.01,57.85,9.84,8.93,344.0,-22.47673292393135,42.29039116024711
41,0016+731,21,1.0,4.0,0.0,6.0,21.0,KOKEE12M,WETTZ13S,3.84453,16.27,29.62,339.91,40.77,381.0,21.919766349110898,75.10571408931361
42,1803+784,21,1.0,4.0,0.0,6.0,50.0,KOKEE12M,WETTZ13S,1.4417,352.1,31.26,7.04,38.77,410.0,-10.574147477997826,76.20377413741578
43,2353+816,21,1.0,4.0,0.0,7.0,18.0,KOKEE12M,WETTZ13S,6.2104,7.18,26.74,350.14,44.80,438.0,10.045844822419388,79.7449030798873
44,3C371,21,1.0,4.0,0.0,7.0,56.0,KOKEE12M,WETTZ13S,2.99019,345.63,38.08,10.5,30.60,476.0,-17.582139445648988,68.62706796555099
45,0202+319,21,1.0,4.0,0.0,8.0,29.0,KOKEE12M,WETTZ13S,2.52297,60.89,15.4,290.7,25.51,509.0,75.8086144061879,42.21186520853006
46,2229+695,21,1.0,4.0,0.0,9.0,0.0,KOKEE12M,WETTZ13S,5.38235,13.27,38.73,345.21,32.34,540.0,16.115844827693635,68.33461919133511
47,1851+488,21,1.0,4.0,0.0,9.0,30.0,KOKEE12M,WETTZ13S,7.33956,331.16,57.43,10.46,9.04,570.0,-23.37043854287285,42.44045923459613
48,1842+681,21,1.0,4.0,0.0,10.0,5.0,KOKEE12M,WETTZ13S,7.33956,347.45,41.22,7.74,28.15,605.0,-14.709906097123136,66.0791519084315
