,source,epoch1,epoch2,epoch3,epoch_h,epoch_min,epoch_sec,station1,station2,sigma,az_st1,el_st1,az_st2,el_st2,epoch_sec_tot,plot_1,plot_2
30,1849+670,21,1.0,4.0,0.0,0.0,0.0,KOKEE12M,WETTZ13S,2.24264,348.59,42.95,6.22,26.77,0.0,-13.032021238520237,64.57345485558392
31,2229+695,21,1.0,4.0,0.0,0.0,29.0,KOKEE12M,WETTZ13S,5.38235,13.99,38.27,344.46,32.71,29.0,17.08200989965286,68.56317612281345
32,1803+784,21,1.0,4.0,0.0,0.0,57.0,KOKEE12M,WETTZ13S,1.41641,352.36,31.44,6.69,38.65,57.0,-10.208681161307936,76.10517787587736
33,1039+811,21,1.0,4.0,0.0,1.0,24.0,KOKEE12M,WETTZ13S,3.1052,354.28,14.69,11.34,55.20,84.0,-8.676825181422183,86.624606340589
34,3C371,21,1.0,4.0,0.0,1.0,51.0,KOKEE12M,WETTZ13S,2.99019,346.14,38.43,9.92,30.42,111.0,-16.88904580535952,68.45035832742869
35,0059+581,21,1.0,4.0,0.0,2.0,21.0,KOKEE12M,WETTZ13S,1.36839,34.23,28.47,321.12,35.32,141.0,44.50405263777736,65.41202571595268
36,1849+670,21,1.0,4.0,0.0,2.0,51.0,KOKEE12M,WETTZ13S,2.24264,348.26,42.81,6.52,26.83,171.0,-13.434167229421234,64.6438368736246
37,0109+224,21,1.0,4.0,0.0,3.0,25.0,KOKEE12M,WETTZ13S,1.87756,73.59,23.06,291.93,11.35,205.0,79.43533259204648,23.39415555866678
38,1746+470,21,1.0,4.0,0.0,4.0,30.0,KOKEE12M,WETTZ13S,5.7668,318.35,50.48,20.79,9.77,270.0,-38.061261887975206,42.79415364028949
39,0202+319,21,1.0,4.0,0.0,5.0,5.0,KOKEE12M,WETTZ13S,2.52297,60.67,14.72,290.15,26.04,305.0,75.88793178292316,42.63858449037685
40,1039+811,21,1.0,4.0,0.0,5.0,38.0,KOKEE12M,WETTZ13S,3.1052,354.42,14.6,11.16,55.34,338.0,-8.46861112485444,86.68112273476113
41,1726+455,21,1.0,4.0,0.0,6.0,8.0,KOKEE12M,WETTZ13S,8.07352,314.13,47.57,24.86,9.76,368.0,-43.58393716129122,42.28004691826935
42,0133+476,21,1.0,4.0,0.0,6.0,42.0,KOKEE12M,WETTZ13S,2.12461,45.79,23.64,307.88,32.18,402.0,59.09743349172698,57.48981484870356
43,3C371,21,1.0,4.0,0.0,7.0,14.0,KOKEE12M,WETTZ13S,2.99019,345.69,38.12,10.43,30.58,434.0,-17.500681134157364,68.60787571661362
44,0202+319,21,1.0,4.0,0.0,7.0,47.0,KOKEE12M,WETTZ13S,2.52297,60.85,15.26,290.59,25.62,467.0,75.82990270310985,42.293099056282834
45,1039+811,21,1.0,4.0,0.0,8.0,20.0,KOKEE12M,WETTZ13S,3.1052,354.51,14.54,11.04,55.42,500.0,-8.334710652786052,86.71791871617768
46,0109+224,21,1.0,4.0,0.0,8.0,53.0,KOKEE12M,WETTZ13S,1.87756,73.95,24.28,292.9,10.52,533.0,78.8413941778222,22.68188384769451
47,1746+470,21,1.0,4.0,0.0,9.0,58.0,KOKEE12M,WETTZ13S,5.7668,317.74,49.63,21.68,10.09,598.0,-39.2030840812344,43.14409752356518
48,0202+319,21,1.0,4.0,0.0,10.0,33.0,KOKEE12M,WETTZ13S,2.52297,61.02,15.82,291.04,25.20,633.0,75.74889695052579,41.95374021838884
49,1039+811,21,1.0,4.0,0.0,11.0,6.0,KOKEE12M,WETTZ13S,3.1052,354.61,14.47,10.92,55.51,666.0,-8.185933673226057,86.75975167993184
