,sked+time,sked_RMS,var_of_obs_x,var_of_obs_y
0,000+0,7.34,1012.6798839663539,344.72370387709475
1,000+1,7.34,1067.9041605169932,341.0855999550442
2,000+2,7.34,1046.0641228777051,301.99758501990334
3,000+3,7.34,1015.8736071457024,320.18057673095234
4,000+4,7.34,994.4315458454898,321.3952360010619
5,000+5,7.34,1356.2910262365306,426.2904151500053
6,000+6,7.34,1429.4703646900193,417.3350251243112
7,000+7,7.34,1283.3717757022132,384.4310187932186
8,000+8,7.34,1389.342730925487,345.6872404040706
9,000+9,7.34,1257.577448561802,313.10038273902524
10,000+10,7.34,1365.6138658972532,308.9559266275875
11,000+11,7.34,1485.70388155585,302.78623782793807
12,000+12,7.34,1510.753017440817,236.69262668447658
13,000+13,7.34,1475.5573191101096,269.80547210615
14,000+14,7.34,1339.3131592544357,316.7736925897843
15,000+15,7.34,1277.2946330623606,256.85850081007834
16,000+16,7.34,1468.919482911299,251.1405213716512
17,000+17,7.34,1486.8610774046551,254.92528405226494
18,000+18,7.34,1403.4162476753827,264.7388812639086
19,000+19,7.34,1286.6443067315365,241.8495497323503
20,000+20,7.34,1084.4035554464626,214.65970052850585
21,000+21,7.34,839.8175411604761,183.56740178247597
22,000+22,7.34,546.1811258992133,184.15067484796586
23,000+23,7.34,609.9122220755947,231.37000431243695
24,000+24,7.34,616.0616945586605,261.03864488768465
25,000+25,7.34,808.2325032055007,287.91425446836564
26,000+26,7.34,646.1235247651729,258.531463100742
27,000+27,7.34,666.6168401245495,289.1785782250033
28,000+28,7.34,1161.353400132811,288.83270767541853
29,000+29,7.34,1338.5382671180123,325.2614788508662
30,000+30,7.34,1416.078512458333,351.878765030462
31,000+31,7.34,1691.598992542239,376.9830847700754
32,000+32,7.34,1877.8245931279585,413.6931181115004
33,000+33,7.34,2292.792590527503,397.5255529378408
34,000+34,7.34,2497.143708430978,395.19670597647615
35,000+35,7.34,2487.0304450553726,397.1413357193876
36,000+36,7.34,2567.8491746276627,378.53733159673294
37,000+37,7.34,2444.5836717046527,311.41061442427895
38,000+38,7.34,2004.5080723038623,363.3233143403603
39,000+39,7.34,1881.4336398329988,370.5140682105661
40,000+40,7.34,1935.7535801836177,357.8395763882786
41,000+41,7.34,1586.5835803147495,368.6394535647724
42,000+42,7.34,1562.6930331233539,356.4844322698874
43,000+43,7.34,1303.3401189055305,285.58081250281276
44,000+44,7.34,955.4806136963997,267.3188659031917
45,000+45,7.34,856.9797916756746,223.42425643125367
46,000+46,7.34,733.2021006301161,250.82118367710711
47,000+47,7.34,647.2431723166435,244.6732727762656
48,000+48,7.34,696.8871176013216,249.49265218515782
49,000+49,7.34,732.6325252155234,262.19580548027
50,000+50,7.34,700.1640697102132,259.205562993541
51,001+0,9.28,736.5788393877228,388.19041173915156
52,001+1,9.28,742.2588744882534,347.35898665362225
53,001+2,9.28,811.2503455727406,383.35247377012865
54,001+3,9.28,934.8958795110279,420.62370693995285
55,001+4,9.28,981.5673763480681,428.191615378462
56,001+5,9.28,729.1963975167271,354.8853192044633
57,001+6,9.28,1057.3722273348812,430.0872521009468
58,001+7,9.28,1113.0288003798805,399.2849001384723
59,001+8,9.28,1251.2949920073638,449.1166185904634
60,001+9,9.28,1386.104731762867,461.6082985783264
61,001+10,9.28,1414.1984354863343,436.3339291759312
62,001+11,9.28,1729.3961285356577,475.04399652573295
63,001+12,9.28,1906.123142837001,444.50115222305925
64,001+13,9.28,1905.1691046233482,414.987536078591
65,001+14,9.28,2092.9240772126104,378.6183843141585
66,001+15,9.28,2289.0000487494676,308.5828451382684
67,001+16,9.28,1899.1961071541295,278.2023222281562
68,001+17,9.28,1943.6403741191432,291.3667409023661
69,001+18,9.28,1848.034168261122,229.4592690480659
70,001+19,9.28,1555.5708364626141,302.04429195509886
71,001+20,9.28,1639.329832678584,312.5824248868484
72,001+21,9.28,1737.1443443554685,311.01434754357314
73,001+22,9.28,1451.5039449525775,279.89285502694906
74,001+23,9.28,1426.5461987884416,266.95028920823944
75,001+24,9.28,1454.7763716952636,267.8082216616753
76,001+25,9.28,1276.5012381130803,248.30954439430093
77,001+26,9.28,1158.1369939726435,277.0719217539533
78,001+27,9.28,1174.7925508264927,264.0625393291107
79,001+28,9.28,1122.2824093824856,286.19088449268145
80,001+29,9.28,1283.0588294185081,242.11375498183926
81,001+30,9.28,1121.5183552870021,232.87838236313442
82,001+31,9.28,848.1047716166718,258.6490606750749
83,001+32,9.28,884.9674024781597,277.8027259122974
84,001+33,9.28,853.2358144353491,313.63828563280646
85,001+34,9.28,746.9599154334024,291.6839761507424
86,001+35,9.28,1354.7804054098415,441.1975196068023
87,001+36,9.28,1512.8676154450477,442.02999206038413
88,001+37,9.28,1416.0334541300956,407.2678891381341
89,001+38,9.28,1543.6462572842397,382.50278038000636
90,001+39,9.28,1403.4202834381463,372.2965525653444
91,001+40,9.28,1522.7421411794044,383.50182825295485
92,001+41,9.28,1619.0715665701268,339.38720929962744
93,001+42,9.28,1601.0170867755933,327.1031400847698
94,001+43,9.28,1701.07420887128,284.89205368894335
95,001+44,9.28,1596.7937652159778,243.4724396078769
96,001+45,9.28,1439.7140518938832,179.43511767614953
97,001+46,9.28,1294.1861326690614,170.40257895216777
98,001+47,9.28,1547.5254799384816,168.82344019162736
99,001+48,9.28,1279.128899415058,214.43939091838467
100,001+49,9.28,1219.8428172423003,250.55831992510372
101,001+50,9.28,1261.3204393145897,256.92638968014836
102,002+0,6.22,855.3954869373564,191.31476411570827
103,002+1,6.22,1065.3303235195801,287.9702342591279
104,002+2,6.22,1107.9397308978196,320.84535961249685
105,002+3,6.22,1360.1161023682403,334.11477019118297
106,002+4,6.22,1297.3280651814189,338.0937819366866
107,002+5,6.22,1293.9988358371445,356.693878619996
108,002+6,6.22,1449.4422866619068,337.6351493003385
109,002+7,6.22,1423.9410204374085,363.55903793440643
110,002+8,6.22,1339.5430691687113,350.4906594186864
111,002+9,6.22,1546.7114380005337,347.3886685665071
112,002+10,6.22,1817.8545525303318,342.7167953390218
113,002+11,6.22,1735.1134111575248,284.88635921964
114,002+12,6.22,1552.6764829161577,317.6792413321971
115,002+13,6.22,1426.4470487834815,306.5988133015082
116,002+14,6.22,1530.2237415359286,268.6102170203326
117,002+15,6.22,1547.3516272648844,249.33173724099262
118,002+16,6.22,1441.73607171914,219.15781816980123
119,002+17,6.22,1601.9059765157808,229.46500956373004
120,002+18,6.22,1559.2416446650968,232.83990034511842
121,002+19,6.22,1468.160597874165,252.14559693553923
122,002+20,6.22,1069.302090565779,283.23228918328414
123,002+21,6.22,1056.4423615685155,285.3682790296133
124,002+22,6.22,1246.9396591204577,255.89857019617995
125,002+23,6.22,1115.5526565996481,270.758973444798
126,002+24,6.22,1232.8544023666177,290.1118204003736
127,002+25,6.22,1571.549670057001,285.7765813378021
128,002+26,6.22,1488.993539362419,341.6801106214966
129,002+27,6.22,1426.1221856061534,322.9847907906152
130,002+28,6.22,1436.1641556381203,313.9336611569204
131,002+29,6.22,1477.7103403722679,333.85204711190744
132,002+30,6.22,1687.5892981428888,300.87986901517786
133,002+31,6.22,1661.189466619825,265.7091794878079
134,002+32,6.22,1774.959238824086,239.0114564259496
135,002+33,6.22,1664.3364414671603,236.85229770458395
136,002+34,6.22,1675.6930411199041,223.1380445415059
137,002+35,6.22,1554.1727075586446,303.0378354412807
138,002+36,6.22,1613.6664670311247,229.50611523844094
139,002+37,6.22,1441.3456617298084,260.11319145841554
140,002+38,6.22,1431.209743938835,272.692954213429
141,002+39,6.22,1535.5253860988407,251.64020027785554
142,002+40,6.22,1421.3548900615265,284.8132105297213
143,002+41,6.22,1476.3540987379429,300.9639813434437
144,002+42,6.22,1271.73623823496,328.9848596321599
145,002+43,6.22,1206.4276897778511,326.36071125817074
146,002+44,6.22,992.6819766429435,321.89090503381556
147,002+45,6.22,797.3030991417144,229.65086227636863
148,002+46,6.22,880.6843041015031,243.06205751395797
149,002+47,6.22,891.0446333132987,213.7849305142028
150,002+48,6.22,994.3299858327204,188.8959700702164
151,002+49,6.22,1071.1702384271996,249.62781400619184
152,002+50,6.22,1178.7927230668104,205.60115680730235
153,003+0,7.58,991.889520451251,376.554731851005
154,003+1,7.58,996.1808875592221,410.49683704296024
155,003+2,7.58,784.0286502800385,408.16541576753656
156,003+3,7.58,872.2324993005736,386.52479146493874
157,003+4,7.58,906.599315944291,399.17234163333774
158,003+5,7.58,898.7985535624599,409.7459281549445
159,003+6,7.58,945.7865244376299,398.68561459612783
160,003+7,7.58,926.801161805983,326.72193069127115
161,003+8,7.58,1243.7262316836193,263.91353954789935
162,003+9,7.58,1198.2074500530443,245.91464785814884
163,003+10,7.58,1041.9823543945686,257.14861878193346
164,003+11,7.58,1199.832660540188,249.9527383397269
165,003+12,7.58,1188.3896777710852,252.10915693464952
166,003+13,7.58,1336.9525619083522,371.0219711856521
167,003+14,7.58,1182.3166119345071,368.9322596325433
168,003+15,7.58,1110.3998303271383,365.9207046891834
169,003+16,7.58,1125.1145671996728,345.3754175573265
170,003+17,7.58,1537.7437769036294,345.3545729562959
171,003+18,7.58,1203.4101459526546,379.13257153274765
172,003+19,7.58,1084.8030155206336,360.3963282248851
173,003+20,7.58,1137.6125818502444,325.6113768091062
174,003+21,7.58,1104.1435754074114,306.8808094737673
175,003+22,7.58,1096.9849548473908,305.9049087901759
176,003+23,7.58,875.8585845052551,191.0643966843374
177,003+24,7.58,898.563343585575,209.84153977297441
178,003+25,7.58,910.5496155669787,216.14880092151805
179,003+26,7.58,902.7619743785195,229.98790363664864
180,003+27,7.58,591.5084575018228,187.2059186331954
181,003+28,7.58,788.8501772773192,205.89940301508
182,003+29,7.58,1086.7388074852618,254.4273068869181
183,003+30,7.58,871.210174542629,302.2401886835944
184,003+31,7.58,858.0930732183089,301.03710104720807
185,003+32,7.58,1056.2869983255343,313.8768752768065
186,003+33,7.58,1050.998694473818,297.266772809272
187,003+34,7.58,999.590626376835,307.82210205333433
188,003+35,7.58,1002.3331205491181,287.73650913902213
189,003+36,7.58,1120.7217018435924,274.8999654057566
190,003+37,7.58,1187.2262456494996,326.62811845804305
191,003+38,7.58,1203.4172982051057,304.05038550723964
192,003+39,7.58,1210.3729547787061,296.2818252618795
193,003+40,7.58,1559.8510479563613,242.66684801844792
194,003+41,7.58,1569.0004419182833,225.23061511435768
195,003+42,7.58,1588.9918843166213,208.18502758585734
196,003+43,7.58,1664.5128756991178,203.19958937974639
197,003+44,7.58,1857.3844055956527,184.2470265713115
198,003+45,7.58,1790.6135644205906,230.50820723865564
199,003+46,7.58,1791.5920440964223,237.02487794510228
200,003+47,7.58,1841.971626384407,199.5429605752054
201,003+48,7.58,1779.955090443247,231.679315105176
202,003+49,7.58,1545.9100760311924,211.96007006905623
203,003+50,7.58,1353.4282699485013,247.01454466044328
204,004+0,8.01,1326.393166499853,205.31386216312143
205,004+1,8.01,1113.776154030688,200.03700445029335
206,004+2,8.01,1338.828142417799,181.69481222612447
207,004+3,8.01,1493.9902969688137,253.75665360763116
208,004+4,8.01,1512.6444663368577,293.69566224017046
209,004+5,8.01,1216.2959128624593,313.6486816150973
210,004+6,8.01,1114.7036405108715,312.0792295926234
211,004+7,8.01,1457.940201002221,339.79040150075656
212,004+8,8.01,1520.8209669077921,354.8094158519815
213,004+9,8.01,1701.603787490405,336.19542577915036
214,004+10,8.01,1767.7237249743591,369.4133331973672
215,004+11,8.01,2040.9434358957444,366.98811148132694
216,004+12,8.01,2064.6669321566305,380.1916547997247
217,004+13,8.01,1681.241795299848,361.676209184946
218,004+14,8.01,1470.2240324539557,315.14973139005
219,004+15,8.01,1246.343739406331,339.8209427716392
220,004+16,8.01,1344.5937688921806,323.7512947053588
221,004+17,8.01,1190.998257915953,304.29176489723534
222,004+18,8.01,1186.679075026795,306.9922447628136
223,004+19,8.01,1287.9322343229874,328.4833659976733
224,004+20,8.01,1553.0474554146597,316.117757427063
225,004+21,8.01,1466.1332805984425,323.7856888448686
226,004+22,8.01,1467.1417338870076,331.2360523148752
227,004+23,8.01,1581.9357526034116,299.2173042476271
228,004+24,8.01,1614.7547215520237,376.469388862251
229,004+25,8.01,1381.8320953736386,319.94456132712946
230,004+26,8.01,1390.491082444478,342.89148379213225
231,004+27,8.01,1371.1496455084084,365.12570779876614
232,004+28,8.01,1147.268755666803,334.9438774494094
233,004+29,8.01,1076.625791065774,320.4887294606806
234,004+30,8.01,749.9679673384588,287.55459984821323
235,004+31,8.01,775.1616567343619,275.5085705052461
236,004+32,8.01,889.6821013999304,242.70913216387228
237,004+33,8.01,789.2324290469974,167.53509176588733
238,004+34,8.01,915.1445916023991,206.8506514319433
239,004+35,8.01,983.5428917170238,254.1968963670329
240,004+36,8.01,1293.6572473424817,280.4618739534371
241,004+37,8.01,1290.7719337643916,288.62928304855785
242,004+38,8.01,1296.1792309716732,316.43150731165144
243,004+39,8.01,1275.6128977733636,290.0177885203476
244,004+40,8.01,1263.4686015211023,303.0132296905148
245,004+41,8.01,1128.7030250342928,337.89014635836713
246,004+42,8.01,1160.6668679382688,356.449431272854
247,004+43,8.01,1295.6905232068866,371.50158119204184
248,004+44,8.01,1188.8808271006897,335.9591429040391
249,004+45,8.01,1121.3702353454837,319.30449507212484
250,004+46,8.01,1262.257101445423,414.2347078022392
251,004+47,8.01,1438.631554579603,440.34497767522737
252,004+48,8.01,1480.329655368345,449.92919727448344
253,004+49,8.01,1407.2441476470433,468.91939658826425
254,004+50,8.01,1596.3143437458994,446.7063261536375
255,005+0,6.51,1451.3715985384415,202.77585526800988
256,005+1,6.51,1444.9829239194253,243.8764679263556
257,005+2,6.51,1468.646561648296,259.23527978879594
258,005+3,6.51,1359.298700862093,311.5757315218472
259,005+4,6.51,1269.18510496938,336.7714704446808
260,005+5,6.51,1120.0474694041118,315.4030049425773
261,005+6,6.51,1442.6600250265435,360.3966912062984
262,005+7,6.51,1256.220330077477,360.35014534072894
263,005+8,6.51,1479.187374971205,371.54751191375965
264,005+9,6.51,1526.2962733146824,334.7938476042644
265,005+10,6.51,1866.9315209103738,349.4967926193583
266,005+11,6.51,1820.025108294691,337.7011416352506
267,005+12,6.51,1770.5287215989986,341.90175111537286
268,005+13,6.51,1962.6303072919745,285.64222513160126
269,005+14,6.51,2200.7780945947416,215.51643587227892
270,005+15,6.51,2172.965576806578,230.08168018667823
271,005+16,6.51,1871.7719712658727,260.62129273800247
272,005+17,6.51,2003.264294744767,250.88539701325934
273,005+18,6.51,1639.9893118763666,278.40959580731675
274,005+19,6.51,1733.0018281470093,288.74547432255486
275,005+20,6.51,1509.77970243936,300.29830511978906
276,005+21,6.51,1639.9258907224191,288.7654720304767
277,005+22,6.51,1493.428349525271,283.70098194811226
278,005+23,6.51,1276.4475423234742,293.87089396284387
279,005+24,6.51,1073.4122151023612,287.6423190911111
280,005+25,6.51,1083.3939985757695,315.9274618087679
281,005+26,6.51,1064.8863516521549,300.5578327466064
282,005+27,6.51,1126.8004050504496,295.17664744986695
283,005+28,6.51,1353.7446316020078,292.2963375762144
284,005+29,6.51,1212.0985642366093,289.72578209030394
285,005+30,6.51,1191.1327614487232,245.76569404909984
286,005+31,6.51,1089.4223959937697,237.1095084911059
287,005+32,6.51,1025.0517648323287,225.18615834415576
288,005+33,6.51,968.9720491276637,220.37315461920332
289,005+34,6.51,995.7393182328483,257.1743738885244
290,005+35,6.51,801.3827837220364,246.74948943809866
291,005+36,6.51,994.6898183248567,233.98161160117866
292,005+37,6.51,1125.3103940716655,243.3558221321749
293,005+38,6.51,1319.1260403150304,301.0376152040737
294,005+39,6.51,1338.5027367183457,325.2648356018888
295,005+40,6.51,1107.1918223755536,301.2483891161628
296,005+41,6.51,1198.0104428749844,323.34001606733614
297,005+42,6.51,1625.0473275165725,413.00493781082434
298,005+43,6.51,1657.9874026399034,386.97270443053173
299,005+44,6.51,1659.2424831682793,374.20949461862824
300,005+45,6.51,1672.4915897636859,343.6960311965988
301,005+46,6.51,1718.9465881727533,404.21244006583464
302,005+47,6.51,1691.1800375726968,425.0479856421513
303,005+48,6.51,1655.7602125230594,365.8902657189172
304,005+49,6.51,1664.4399168605637,384.62257001152966
305,005+50,6.51,1691.2626019810991,465.2113832356162
306,006+0,9.69,1039.1065585419028,320.9710193609745
307,006+1,9.69,1022.7298063325862,349.8032064706092
308,006+2,9.69,1027.6600890087532,336.5623211568185
309,006+3,9.69,1274.8434556622933,376.90717949044176
310,006+4,9.69,1276.5345423894694,368.62711442288514
311,006+5,9.69,1228.3461250445125,357.6590202566841
312,006+6,9.69,1149.028761953101,318.8582331098252
313,006+7,9.69,1047.3297811400694,312.11108729136845
314,006+8,9.69,496.1855798587964,229.23520916489895
315,006+9,9.69,562.510911299502,272.1461637286684
316,006+10,9.69,953.1988889693434,315.19383453926554
317,006+11,9.69,959.7019308072405,332.3124888970544
318,006+12,9.69,1187.1313651988073,368.7024116826092
319,006+13,9.69,1319.7288608372305,425.70244623609443
320,006+14,9.69,1328.1371592779883,408.6311488678251
321,006+15,9.69,1444.2793185272383,410.07284165428837
322,006+16,9.69,1685.4303159878136,419.60258525263134
323,006+17,9.69,1651.1996630316553,397.5956722875356
324,006+18,9.69,1634.545627418655,410.7314867512696
325,006+19,9.69,1559.259380333533,358.05296875680034
326,006+20,9.69,1238.6123924176309,376.77120854789035
327,006+21,9.69,1392.6280677211516,308.45196527097767
328,006+22,9.69,1310.9405762333572,292.2553248229435
329,006+23,9.69,1170.8064782947824,213.08000835368048
330,006+24,9.69,1243.709357503601,213.67605651825363
331,006+25,9.69,999.2229883853763,250.03683870495445
332,006+26,9.69,934.462215069607,227.65771469360052
333,006+27,9.69,1026.296306920695,223.24572354839162
334,006+28,9.69,902.7198034569617,231.67947413081058
335,006+29,9.69,783.7428599481559,254.2242173213506
336,006+30,9.69,817.9430615499082,233.46130231065868
337,006+31,9.69,1023.6431400675979,342.5592862051351
338,006+32,9.69,1173.575821209012,391.39715135282137
339,006+33,9.69,1302.0297194120476,483.4038233739056
340,006+34,9.69,1209.4548926905416,466.6594065780536
341,006+35,9.69,1451.51577870664,454.22809550840117
342,006+36,9.69,1461.7895483996651,455.75896447374134
343,006+37,9.69,1562.6700962477773,445.32676837282935
344,006+38,9.69,1683.617371130195,399.00320295094804
345,006+39,9.69,1824.5570555374131,354.19022104957276
346,006+40,9.69,1747.8712539851304,365.44287511593785
347,006+41,9.69,1777.2132008312922,259.63105784903587
348,006+42,9.69,1721.053562779344,235.02513806862447
349,006+43,9.69,1689.839795859438,162.7726369953611
350,006+44,9.69,1462.4915334694397,209.93241628441797
351,006+45,9.69,1354.755952100118,220.09478310591535
352,006+46,9.69,1338.552497317712,265.9294616096408
353,006+47,9.69,1355.5658613886674,301.2035849466613
354,006+48,9.69,1394.9014256229996,313.98064021825337
355,006+49,9.69,1434.0962368320634,335.1654783982866
356,006+50,9.69,1551.2576165484825,337.87146054335983
357,007+0,7.16,1315.5322743892268,269.78989956939176
358,007+1,7.16,1118.8109890161193,281.12953473397874
359,007+2,7.16,1389.8999652332905,256.3694887622462
360,007+3,7.16,1345.0520725696592,316.03026193492786
361,007+4,7.16,1300.3765251800332,352.12403177199303
362,007+5,7.16,1187.4853460364288,307.4758512637037
363,007+6,7.16,1291.2885569652267,334.9543480517234
364,007+7,7.16,1266.0561908155971,312.7425327274095
365,007+8,7.16,1351.8655836157495,380.16217181836805
366,007+9,7.16,1342.6531040410905,401.50112366381484
367,007+10,7.16,1413.7854552260444,389.24008990552943
368,007+11,7.16,1441.3222080965988,388.2609166119826
369,007+12,7.16,1263.4008655615623,394.10979598876787
370,007+13,7.16,868.0878489660521,331.2937741119808
371,007+14,7.16,878.6515877198807,291.2238397602308
372,007+15,7.16,971.5127919602799,331.54519326406376
373,007+16,7.16,963.0241719947569,336.91783146370636
374,007+17,7.16,1155.0477449458176,363.3817019264524
375,007+18,7.16,1072.1126054934098,284.16948359885043
376,007+19,7.16,1223.2030311765827,271.84147302897765
377,007+20,7.16,1301.0349894853616,267.92988751191865
378,007+21,7.16,1421.5644962369763,299.23681743151286
379,007+22,7.16,1466.900714405697,316.2667778597121
380,007+23,7.16,1785.692355177738,302.65281857607386
381,007+24,7.16,1951.2838614855302,303.062402808855
382,007+25,7.16,2105.61057637058,263.4604383572202
383,007+26,7.16,2162.344185315137,264.1960781631846
384,007+27,7.16,2198.3822631378202,238.28808353281698
385,007+28,7.16,1949.5741245971658,283.47698054254306
386,007+29,7.16,1918.0385872936356,338.29885779745166
387,007+30,7.16,1574.2002287803355,407.74148452431695
388,007+31,7.16,1616.1475243577959,400.4879933289912
389,007+32,7.16,1523.6486901642745,380.5401717005404
390,007+33,7.16,1209.688088392921,362.9237046055862
391,007+34,7.16,1163.4507510498574,379.3625344665524
392,007+35,7.16,1235.6533053559763,389.2717096921082
393,007+36,7.16,1002.2649524924637,313.0212604849289
394,007+37,7.16,1034.2162452102648,306.2350263629588
395,007+38,7.16,1337.8290011163667,371.7975118515029
396,007+39,7.16,1324.8290985888414,333.4877382731732
397,007+40,7.16,1382.4544660884148,292.3200644085879
398,007+41,7.16,1415.5033081321542,316.0010835341377
399,007+42,7.16,1254.0034141685928,352.6786562420476
400,007+43,7.16,1186.9627329360426,362.3119866047928
401,007+44,7.16,1162.395094520834,347.3726181339007
402,007+45,7.16,1126.632815242948,273.5767520408476
403,007+46,7.16,1165.8129491906625,274.49740276129467
404,007+47,7.16,855.1144187312445,223.79578600959772
405,007+48,7.16,874.3765768496551,226.37027341996068
406,007+49,7.16,928.5860885886455,264.5200151054031
407,007+50,7.16,925.6676230900964,266.3474271259896
408,008+0,7.26,812.8972657260555,359.1780065527437
409,008+1,7.26,761.7444125741372,326.60278409066245
410,008+2,7.26,894.8213081709395,351.7957237663416
411,008+3,7.26,1105.0402118549212,329.44254660626285
412,008+4,7.26,1082.7477280426901,316.4403430101462
413,008+5,7.26,1210.0883501671958,313.6216582463759
414,008+6,7.26,932.8228206325025,220.4550988119018
415,008+7,7.26,1071.0293946262059,237.2405627184406
416,008+8,7.26,1196.5905789640126,260.0417488404534
417,008+9,7.26,1173.0620047467678,240.04932232126103
418,008+10,7.26,1335.318353346398,226.02707919244608
419,008+11,7.26,1542.9577282879745,233.08308396193726
420,008+12,7.26,1309.7645607637114,240.83467608998447
421,008+13,7.26,1621.2465908712397,243.0936280138139
422,008+14,7.26,1734.6029624095277,190.5778993719626
423,008+15,7.26,1644.6719273137949,229.42370770510507
424,008+16,7.26,1748.7267561286446,224.02829888488614
425,008+17,7.26,1709.2605848104872,290.98237173327465
426,008+18,7.26,1455.328862225947,321.8944528675643
427,008+19,7.26,1615.4038739215978,365.7290085587541
428,008+20,7.26,1534.5835960492427,378.7933221844561
429,008+21,7.26,1442.1547022717446,411.73422864218657
430,008+22,7.26,1270.1852449471203,419.3493308838821
431,008+23,7.26,1072.1176539585233,387.5082708415938
432,008+24,7.26,1017.611120547092,370.97988225757445
433,008+25,7.26,918.5924574796918,349.82389475574973
434,008+26,7.26,920.9126844828457,363.02579005188136
435,008+27,7.26,890.4900322126116,330.0780027293671
436,008+28,7.26,1141.2571164862306,348.90453183105643
437,008+29,7.26,967.4604891006127,300.2903697563002
438,008+30,7.26,984.1966558426434,326.42646993839276
439,008+31,7.26,1214.1838384808614,300.50683272592187
440,008+32,7.26,1236.0204647463788,278.42119822491406
441,008+33,7.26,1192.4562498519,279.13403051200424
442,008+34,7.26,1271.6536269149506,238.8865085131632
443,008+35,7.26,1212.9362935069173,222.16733852821284
444,008+36,7.26,1250.8880158055003,216.13444167454074
445,008+37,7.26,1221.386341582255,237.70555175910374
446,008+38,7.26,1053.6398453983907,188.48674039284552
447,008+39,7.26,1061.4405573629106,188.93581332245367
448,008+40,7.26,1185.2420013401374,151.31174897802583
449,008+41,7.26,818.4149465246206,157.0570946228434
450,008+42,7.26,1392.037531159322,271.5828499449211
451,008+43,7.26,1619.029664680211,260.4228864437658
452,008+44,7.26,1579.226954931377,316.0894173733862
453,008+45,7.26,1598.7567370009679,294.2133003774136
454,008+46,7.26,1768.7143445021156,286.5741675593392
455,008+47,7.26,1669.6017571195493,298.91341363574077
456,008+48,7.26,1705.5237504019472,344.6664988975605
457,008+49,7.26,2025.6030863955666,402.85509127950024
458,008+50,7.26,1894.6277660140763,402.62683764713586
459,009+0,7.38,1253.1868143422182,251.50156908203724
460,009+1,7.38,1500.0578326000734,251.02817590324173
461,009+2,7.38,1643.7901351490386,299.7240876738613
462,009+3,7.38,1639.6305828726702,312.8731177105042
463,009+4,7.38,1573.8479534308624,352.7788959118101
464,009+5,7.38,1683.8950950115923,351.4388783820118
465,009+6,7.38,1559.014644062035,349.6285060705136
466,009+7,7.38,1535.8448512373523,382.3963371769163
467,009+8,7.38,1239.1971821167622,370.1964051358641
468,009+9,7.38,1195.911614049908,377.5733174051155
469,009+10,7.38,1508.7703498472952,411.7222650081942
470,009+11,7.38,1523.9647335296524,429.06624040571967
471,009+12,7.38,1332.9224286335348,383.6846945061676
472,009+13,7.38,1243.910718462707,354.4081175670939
473,009+14,7.38,1357.4190327105582,329.4146670332324
474,009+15,7.38,1278.6839943092236,330.043497806505
475,009+16,7.38,1056.4725335251649,279.9794367767022
476,009+17,7.38,1056.822729120703,279.6928485758694
477,009+18,7.38,1053.3952697415536,270.12418852077326
478,009+19,7.38,1108.6713213108367,267.74580955348154
479,009+20,7.38,946.6116798967662,243.8743071868125
480,009+21,7.38,770.596056914075,240.51200184995494
481,009+22,7.38,940.9241182261338,234.66548415412183
482,009+23,7.38,960.9964294098331,227.58390351699921
483,009+24,7.38,917.2155189237894,234.9162631033431
484,009+25,7.38,953.9631997795427,222.41960477220275
485,009+26,7.38,1021.2092449431392,231.8884197783344
486,009+27,7.38,1021.0578266380271,231.7791003663107
487,009+28,7.38,949.1635685642217,208.71704286352738
488,009+29,7.38,1051.588883571265,232.22224894319035
